ProductCode,Warehouse,AvailableQty,LastUpdated
P1001,WH001,25,2026-08-01
P1001,WH002,20,2026-08-01
P1002,WH001,100,2026-08-01
P1002,WH002,80,2026-08-01
P1003,WH001,50,2026-08-01
P1003,WH003,45,2026-08-01
P1004,WH001,35,2026-08-01
P1004,WH002,25,2026-08-01
P1005,WH001,70,2026-08-01
P1005,WH003,50,2026-08-01
P1006,WH001,40,2026-08-01
P1006,WH002,35,2026-08-01
P1007,WH001,30,2026-08-01
P1007,WH002,20,2026-08-01
P1008,WH001,60,2026-08-01
P1008,WH003,50,2026-08-01
P1009,WH001,25,2026-08-01
P1009,WH002,15,2026-08-01
P1010,WH001,15,2026-08-01
P1010,WH002,10,2026-08-01
P1011,WH001,50,2026-08-01
P1011,WH003,40,2026-08-01
P1012,WH001,150,2026-08-01
P1012,WH002,150,2026-08-01
P1013,WH001,120,2026-08-01
P1013,WH003,130,2026-08-01
P1014,WH001,18,2026-08-01
P1014,WH002,12,2026-08-01
P1015,WH001,45,2026-08-01
P1015,WH003,35,2026-08-01
