OrderID,CustomerID,OrderDate,ProductCode,Quantity,OrderTotal
1001,1,2026-07-10,P1001,1,15000
1002,2,2026-07-11,P1002,2,500
1003,3,2026-07-12,P1003,1,450
1004,4,2026-07-13,P1004,1,4200
1005,5,2026-07-14,P1006,2,3780
1006,1,2026-07-15,P1005,1,650
1007,6,2026-07-16,P1009,1,3500
1008,7,2026-07-17,P1010,1,7800
1009,8,2026-07-18,P1001,1,15000
1010,2,2026-07-19,P1007,1,2100
1011,9,2026-07-20,P1002,3,750
1012,10,2026-07-21,P1012,5,600
1013,3,2026-07-22,P1008,2,1780
1014,11,2026-07-23,P1014,1,5200
1015,12,2026-07-24,P1003,2,900
1016,4,2026-07-25,P1015,3,2670
1017,5,2026-07-26,P1004,1,4200
1018,13,2026-07-27,P1006,1,1890
1019,6,2026-07-28,P1011,2,900
1020,14,2026-07-29,P1001,1,15000
1021,7,2026-07-30,P1005,2,1300
1022,15,2026-07-31,P1009,1,3500
1023,1,2026-08-01,P1013,4,340
1024,8,2026-08-01,P1002,1,250
1025,9,2026-08-02,P1007,1,2100
1026,2,2026-08-02,P1010,1,7800
1027,10,2026-08-03,P1008,1,890
1028,11,2026-08-03,P1012,10,1200
1029,12,2026-08-04,P1004,2,8400
1030,3,2026-08-04,P1015,2,1780
1031,13,2026-08-05,P1003,1,450
1032,14,2026-08-05,P1006,1,1890
1033,15,2026-08-05,P1011,1,450
1034,4,2026-08-05,P1001,1,15000
1035,5,2026-08-05,P1014,1,5200
